year,player_name,finish,status_at_event,status_basis,confidence,evidence_note,prior_main_event_cashes,prize_usd,entries,source_file
2001,Carlos Mortensen,1,Pro,professional player,High,Mortensen was a professional poker player.,0,1500000,613,final_table
2001,Dewey Tomko,2,Pro,Hall of Fame professional,High,Established professional and Hall of Fame-level player.,3,1098925,613,final_table
2002,Robert Varkonyi,1,Amateur,investment banker / non-poker primary career,High,Event-time identity was non-poker primary career rather than established poker pro.,0,2000000,631,final_table
2002,Julian Gardner,2,Pro,professional / repeated tournament résumé,Medium,Treated as professional based on poker résumé.,0,1100000,631,final_table
2003,Chris Moneymaker,1,Amateur,recreational player / accountant / satellite qualifier,High,The classic amateur boom case; later fame should not retroactively change the event-time tag.,0,2500000,839,final_table
2003,Sam Farha,2,Pro,established professional,High,Farha was an established poker professional.,0,1300000,839,final_table
2004,Greg Raymer,1,Uncertain-Crossover,patent attorney plus serious poker player,Low,Mixed event-time identity: non-poker profession but serious player who became clearly professional afterward.,0,5000000,2576,final_table
2004,David Williams,2,Pro,professional player,High,Williams was an established high-level player.,0,3500000,2576,final_table
2005,Joe Hachem,1,Pro,professional player,High,Classified as a professional player at the time of the win.,0,7500000,5619,final_table
2005,Steve Dannenmann,2,Amateur,CPA / kept day job,High,Non-poker primary occupation and classic amateur runner-up profile.,0,4250000,5619,final_table
2006,Jamie Gold,1,Amateur,television producer / non-poker primary career,High,"Event-time identity was TV producer with poker experience, not career poker pro.",0,12000000,8773,final_table
2006,Paul Wasicka,2,Pro,professional player,High,Wasicka was a professional player.,0,6102499,8773,final_table
2007,Jerry Yang,1,Amateur,psychologist/social worker / satellite qualifier,High,Non-poker primary occupation and satellite-qualified amateur profile.,0,8250000,6358,final_table
2007,Tuan Lam,2,Pro,professional player,Medium,Treated as pro based on event-time poker profile.,0,4840981,6358,final_table
2008,Peter Eastgate,1,Pro,professional player,High,Eastgate was a professional player.,0,9152416,6844,final_table
2008,Ivan Demidov,2,Pro,professional player,High,Demidov was a professional player.,0,5790024,6844,final_table
2009,Joe Cada,1,Pro,professional player,High,Cada was a professional player.,0,8547042,6494,final_table
2009,Darvin Moon,2,Amateur,logger / amateur player,High,Self-employed logger and widely described amateur.,0,5182928,6494,final_table
2010,Jonathan Duhamel,1,Pro,professional player,High,Duhamel was a professional player.,0,8944310,7319,final_table
2010,John Racener,2,Pro,professional player,High,Racener was a professional player.,0,5545955,7319,final_table
2011,Pius Heinz,1,Pro,online professional,High,Heinz was an online professional.,0,8715638,6865,final_table
2011,Martin Staszko,2,Pro,professional player,High,Staszko was described as professional.,0,5433086,6865,final_table
2012,Greg Merson,1,Pro,professional player,High,Merson was a professional player.,1,8531853,6598,final_table
2012,Jesse Sylvia,2,Pro,professional player,High,Sylvia was a professional player.,0,5295149,6598,final_table
2013,Ryan Riess,1,Pro,professional player,High,Riess was a professional player.,0,8361570,6352,final_table
2013,Jay Farber,2,Amateur,nightclub promoter / amateur,High,Farber was repeatedly framed as the amateur at the final table.,0,5174357,6352,final_table
2014,Martin Jacobson,1,Pro,professional player,High,Jacobson was a professional player.,0,10000000,6683,final_table
